,ind,path,state
0,01,Dados_BCI/dados_01_state1.txt,1
1,01,Dados_BCI/dados_01_state2.txt,2
2,01,Dados_BCI/dados_01_state3.txt,3
3,01,Dados_BCI/dados_01_state4.txt,4
4,01,Dados_BCI/dados_01_state5.txt,5
5,02,Dados_BCI/dados_02_state1.txt,1
6,02,Dados_BCI/dados_02_state2.txt,2
7,02,Dados_BCI/dados_02_state3.txt,3
8,02,Dados_BCI/dados_02_state4.txt,4
9,02,Dados_BCI/dados_02_state5.txt,5
10,03,Dados_BCI/dados_03_state1.txt,1
11,03,Dados_BCI/dados_03_state2.txt,2
12,03,Dados_BCI/dados_03_state3.txt,3
13,03,Dados_BCI/dados_03_state4.txt,4
14,03,Dados_BCI/dados_03_state5.txt,5
15,04,Dados_BCI/dados_04_state1.txt,1
16,04,Dados_BCI/dados_04_state2.txt,2
17,04,Dados_BCI/dados_04_state3.txt,3
18,04,Dados_BCI/dados_04_state4.txt,4
19,04,Dados_BCI/dados_04_state5.txt,5
20,05,Dados_BCI/dados_05_state1.txt,1
21,05,Dados_BCI/dados_05_state2.txt,2
22,05,Dados_BCI/dados_05_state3.txt,3
23,05,Dados_BCI/dados_05_state4.txt,4
24,05,Dados_BCI/dados_05_state5.txt,5
25,06,Dados_BCI/dados_06_state1.txt,1
26,06,Dados_BCI/dados_06_state2.txt,2
27,06,Dados_BCI/dados_06_state3.txt,3
28,06,Dados_BCI/dados_06_state4.txt,4
29,06,Dados_BCI/dados_06_state5.txt,5
30,07,Dados_BCI/dados_07_state1.txt,1
31,07,Dados_BCI/dados_07_state2.txt,2
32,07,Dados_BCI/dados_07_state3.txt,3
33,07,Dados_BCI/dados_07_state4.txt,4
34,07,Dados_BCI/dados_07_state5.txt,5
35,08,Dados_BCI/dados_08_state1.txt,1
36,08,Dados_BCI/dados_08_state2.txt,2
37,08,Dados_BCI/dados_08_state3.txt,3
38,08,Dados_BCI/dados_08_state4.txt,4
39,08,Dados_BCI/dados_08_state5.txt,5
40,09,Dados_BCI/dados_09_state1.txt,1
41,09,Dados_BCI/dados_09_state2.txt,2
42,09,Dados_BCI/dados_09_state3.txt,3
43,09,Dados_BCI/dados_09_state4.txt,4
44,09,Dados_BCI/dados_09_state5.txt,5
45,10,Dados_BCI/dados_10_state1.txt,1
46,10,Dados_BCI/dados_10_state2.txt,2
47,10,Dados_BCI/dados_10_state3.txt,3
48,10,Dados_BCI/dados_10_state4.txt,4
49,10,Dados_BCI/dados_10_state5.txt,5
50,11,Dados_BCI/dados_11_state1.txt,1
51,11,Dados_BCI/dados_11_state2.txt,2
52,11,Dados_BCI/dados_11_state3.txt,3
53,11,Dados_BCI/dados_11_state4.txt,4
54,11,Dados_BCI/dados_11_state5.txt,5
55,12,Dados_BCI/dados_12_state1.txt,1
56,12,Dados_BCI/dados_12_state2.txt,2
57,12,Dados_BCI/dados_12_state3.txt,3
58,12,Dados_BCI/dados_12_state4.txt,4
59,12,Dados_BCI/dados_12_state5.txt,5
60,13,Dados_BCI/dados_13_state1.txt,1
61,13,Dados_BCI/dados_13_state2.txt,2
62,13,Dados_BCI/dados_13_state3.txt,3
63,13,Dados_BCI/dados_13_state4.txt,4
64,13,Dados_BCI/dados_13_state5.txt,5
65,14,Dados_BCI/dados_14_state1.txt,1
66,14,Dados_BCI/dados_14_state2.txt,2
67,14,Dados_BCI/dados_14_state3.txt,3
68,14,Dados_BCI/dados_14_state4.txt,4
69,14,Dados_BCI/dados_14_state5.txt,5
70,15,Dados_BCI/dados_15_state1.txt,1
71,15,Dados_BCI/dados_15_state2.txt,2
72,15,Dados_BCI/dados_15_state3.txt,3
73,15,Dados_BCI/dados_15_state4.txt,4
74,15,Dados_BCI/dados_15_state5.txt,5
75,16,Dados_BCI/dados_16_state1.txt,1
76,16,Dados_BCI/dados_16_state2.txt,2
77,16,Dados_BCI/dados_16_state3.txt,3
78,16,Dados_BCI/dados_16_state4.txt,4
79,16,Dados_BCI/dados_16_state5.txt,5
80,17,Dados_BCI/dados_17_state1.txt,1
81,17,Dados_BCI/dados_17_state2.txt,2
82,17,Dados_BCI/dados_17_state3.txt,3
83,17,Dados_BCI/dados_17_state4.txt,4
84,17,Dados_BCI/dados_17_state5.txt,5
85,18,Dados_BCI/dados_18_state1.txt,1
86,18,Dados_BCI/dados_18_state2.txt,2
87,18,Dados_BCI/dados_18_state3.txt,3
88,18,Dados_BCI/dados_18_state4.txt,4
89,18,Dados_BCI/dados_18_state5.txt,5
90,19,Dados_BCI/dados_19_state1.txt,1
91,19,Dados_BCI/dados_19_state2.txt,2
92,19,Dados_BCI/dados_19_state3.txt,3
93,19,Dados_BCI/dados_19_state4.txt,4
94,19,Dados_BCI/dados_19_state5.txt,5
95,20,Dados_BCI/dados_20_state1.txt,1
96,20,Dados_BCI/dados_20_state2.txt,2
97,20,Dados_BCI/dados_20_state3.txt,3
98,20,Dados_BCI/dados_20_state4.txt,4
99,20,Dados_BCI/dados_20_state5.txt,5
100,21,Dados_BCI/dados_21_state1.txt,1
101,21,Dados_BCI/dados_21_state2.txt,2
102,21,Dados_BCI/dados_21_state3.txt,3
103,21,Dados_BCI/dados_21_state4.txt,4
104,21,Dados_BCI/dados_21_state5.txt,5
105,22,Dados_BCI/dados_22_state1.txt,1
106,22,Dados_BCI/dados_22_state2.txt,2
107,22,Dados_BCI/dados_22_state3.txt,3
108,22,Dados_BCI/dados_22_state4.txt,4
109,22,Dados_BCI/dados_22_state5.txt,5
110,23,Dados_BCI/dados_23_state1.txt,1
111,23,Dados_BCI/dados_23_state2.txt,2
112,23,Dados_BCI/dados_23_state3.txt,3
113,23,Dados_BCI/dados_23_state4.txt,4
114,23,Dados_BCI/dados_23_state5.txt,5
115,24,Dados_BCI/dados_24_state1.txt,1
116,24,Dados_BCI/dados_24_state2.txt,2
117,24,Dados_BCI/dados_24_state3.txt,3
118,24,Dados_BCI/dados_24_state4.txt,4
119,24,Dados_BCI/dados_24_state5.txt,5
120,25,Dados_BCI/dados_25_state1.txt,1
121,25,Dados_BCI/dados_25_state2.txt,2
122,25,Dados_BCI/dados_25_state3.txt,3
123,25,Dados_BCI/dados_25_state4.txt,4
124,25,Dados_BCI/dados_25_state5.txt,5
125,26,Dados_BCI/dados_26_state1.txt,1
126,26,Dados_BCI/dados_26_state2.txt,2
127,26,Dados_BCI/dados_26_state3.txt,3
128,26,Dados_BCI/dados_26_state4.txt,4
129,26,Dados_BCI/dados_26_state5.txt,5
130,27,Dados_BCI/dados_27_state1.txt,1
131,27,Dados_BCI/dados_27_state2.txt,2
132,27,Dados_BCI/dados_27_state3.txt,3
133,27,Dados_BCI/dados_27_state4.txt,4
134,27,Dados_BCI/dados_27_state5.txt,5
135,28,Dados_BCI/dados_28_state1.txt,1
136,28,Dados_BCI/dados_28_state2.txt,2
137,28,Dados_BCI/dados_28_state3.txt,3
138,28,Dados_BCI/dados_28_state4.txt,4
139,28,Dados_BCI/dados_28_state5.txt,5
140,29,Dados_BCI/dados_29_state1.txt,1
141,29,Dados_BCI/dados_29_state2.txt,2
142,29,Dados_BCI/dados_29_state3.txt,3
143,29,Dados_BCI/dados_29_state4.txt,4
144,29,Dados_BCI/dados_29_state5.txt,5
145,30,Dados_BCI/dados_30_state1.txt,1
146,30,Dados_BCI/dados_30_state2.txt,2
147,30,Dados_BCI/dados_30_state3.txt,3
148,30,Dados_BCI/dados_30_state4.txt,4
149,30,Dados_BCI/dados_30_state5.txt,5
150,31,Dados_BCI/dados_31_state1.txt,1
151,31,Dados_BCI/dados_31_state2.txt,2
152,31,Dados_BCI/dados_31_state3.txt,3
153,31,Dados_BCI/dados_31_state4.txt,4
154,31,Dados_BCI/dados_31_state5.txt,5
155,32,Dados_BCI/dados_32_state1.txt,1
156,32,Dados_BCI/dados_32_state2.txt,2
157,32,Dados_BCI/dados_32_state3.txt,3
158,32,Dados_BCI/dados_32_state4.txt,4
159,32,Dados_BCI/dados_32_state5.txt,5
160,33,Dados_BCI/dados_33_state1.txt,1
161,33,Dados_BCI/dados_33_state2.txt,2
162,33,Dados_BCI/dados_33_state3.txt,3
163,33,Dados_BCI/dados_33_state4.txt,4
164,33,Dados_BCI/dados_33_state5.txt,5
165,34,Dados_BCI/dados_34_state1.txt,1
166,34,Dados_BCI/dados_34_state2.txt,2
167,34,Dados_BCI/dados_34_state3.txt,3
168,34,Dados_BCI/dados_34_state4.txt,4
169,34,Dados_BCI/dados_34_state5.txt,5
170,35,Dados_BCI/dados_35_state1.txt,1
171,35,Dados_BCI/dados_35_state2.txt,2
172,35,Dados_BCI/dados_35_state3.txt,3
173,35,Dados_BCI/dados_35_state4.txt,4
174,35,Dados_BCI/dados_35_state5.txt,5
175,36,Dados_BCI/dados_36_state1.txt,1
176,36,Dados_BCI/dados_36_state2.txt,2
177,36,Dados_BCI/dados_36_state3.txt,3
178,36,Dados_BCI/dados_36_state4.txt,4
179,36,Dados_BCI/dados_36_state5.txt,5
