subject,state,path
_,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\2\0.csv
_,4,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\4\0.csv
_,5,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\5\0.csv
_,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\3\0.csv
_,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\2\1.csv
_,5,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\5\1.csv
_,1,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\1\0.csv
_,4,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\4\1.csv
_,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\3\1.csv
_,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\3\2.csv
_,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\3\3.csv
_,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\3\4.csv
_,1,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\1\1.csv
_,5,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\5\2.csv
_,1,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\1\2.csv
_,5,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\5\3.csv
_,5,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\5\4.csv
_,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\2\2.csv
_,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\3\5.csv
_,1,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\1\3.csv
_,5,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\5\5.csv
_,5,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\5\6.csv
_,5,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\5\7.csv
_,1,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\1\4.csv
_,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\2\3.csv
_,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\2\4.csv
_,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\2\5.csv
_,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\3\6.csv
_,4,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\4\2.csv
_,5,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\5\8.csv
_,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\3\7.csv
_,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\2\6.csv
_,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\2\7.csv
_,1,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\1\5.csv
_,5,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\5\9.csv
_,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\3\8.csv
_,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\3\9.csv
_,4,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\4\3.csv
_,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\2\8.csv
_,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\2\9.csv
_,4,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\4\4.csv
_,1,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\1\6.csv
_,4,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\4\5.csv
_,5,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\5\10.csv
_,5,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\5\11.csv
_,1,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\1\7.csv
_,4,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\4\6.csv
_,4,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\4\7.csv
_,1,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\1\8.csv
_,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\2\10.csv
_,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Backup\ProcessedSignals\512\3\10.csv
