subject,state,file
2175820170609,5,124.csv
2175820170609,2,103.csv
0179520170504,4,101.csv
5575520170711,5,64.csv
0179520170504,3,84.csv
1869920170609,1,5.csv
0179520170504,1,184.csv
5575520170713,2,113.csv
1869920170609,5,110.csv
0179520170504,4,139.csv
5575520170713,5,64.csv
6469920170608,4,135.csv
0179520170504,4,181.csv
2175820170609,5,119.csv
2175820170609,5,150.csv
5575520170713,3,78.csv
2175820170609,3,118.csv
6469920170608,2,113.csv
5575520170713,3,146.csv
2175820170609,4,94.csv
0179520170504,1,206.csv
6469920170608,4,15.csv
0179520170504,2,160.csv
1869920170609,4,76.csv
1869920170609,3,181.csv
0179520170504,1,58.csv
5575520170711,3,55.csv
5575520170711,5,196.csv
2175820170609,4,110.csv
2175820170609,4,138.csv
1869920170609,4,191.csv
6469920170608,1,188.csv
6469920170608,2,85.csv
6469920170608,4,121.csv
5575520170711,4,41.csv
2175820170609,1,19.csv
6469920170608,2,8.csv
5575520170713,5,83.csv
5575520170713,5,62.csv
5575520170713,2,117.csv
5575520170711,4,148.csv
5575520170713,2,29.csv
5575520170711,5,12.csv
5575520170711,5,78.csv
5575520170711,4,151.csv
2175820170609,4,12.csv
1869920170609,2,78.csv
1869920170609,2,116.csv
5575520170711,4,34.csv
5575520170711,4,8.csv
6469920170608,5,127.csv
2175820170609,4,159.csv
2175820170609,2,192.csv
6469920170608,3,18.csv
6469920170608,5,78.csv
5575520170711,4,23.csv
1869920170609,2,112.csv
5575520170711,4,127.csv
1869920170609,4,198.csv
5575520170713,3,42.csv
0179520170504,4,29.csv
0179520170504,2,145.csv
6469920170608,3,162.csv
5575520170711,5,83.csv
1869920170609,4,170.csv
6469920170608,5,186.csv
5575520170711,4,86.csv
1869920170609,3,25.csv
2175820170609,3,43.csv
5575520170713,2,203.csv
6469920170608,4,57.csv
2175820170609,5,140.csv
6469920170608,3,144.csv
1869920170609,1,129.csv
6469920170608,5,76.csv
0179520170504,3,1.csv
5575520170713,2,121.csv
2175820170609,3,108.csv
6469920170608,3,67.csv
2175820170609,4,43.csv
1869920170609,4,58.csv
2175820170609,5,184.csv
2175820170609,4,34.csv
1869920170609,5,184.csv
1869920170609,2,146.csv
2175820170609,3,41.csv
2175820170609,2,140.csv
2175820170609,5,42.csv
1869920170609,5,65.csv
6469920170608,1,135.csv
5575520170711,5,81.csv
6469920170608,3,70.csv
1869920170609,3,146.csv
1869920170609,4,57.csv
5575520170713,3,129.csv
5575520170713,3,171.csv
6469920170608,2,135.csv
5575520170711,4,76.csv
1869920170609,5,153.csv
6469920170608,3,209.csv
5575520170713,2,25.csv
6469920170608,1,87.csv
0179520170504,2,127.csv
5575520170713,2,50.csv
6469920170608,5,175.csv
5575520170711,5,89.csv
1869920170609,4,43.csv
2175820170609,1,98.csv
5575520170713,3,199.csv
5575520170713,3,32.csv
6469920170608,5,144.csv
5575520170711,4,42.csv
5575520170711,3,44.csv
0179520170504,5,22.csv
6469920170608,1,54.csv
5575520170713,3,158.csv
5575520170711,5,102.csv
0179520170504,1,136.csv
0179520170504,2,174.csv
1869920170609,4,14.csv
0179520170504,1,68.csv
5575520170711,4,11.csv
0179520170504,4,17.csv
2175820170609,5,86.csv
5575520170711,3,172.csv
6469920170608,2,88.csv
0179520170504,5,189.csv
5575520170713,2,78.csv
5575520170711,5,185.csv
0179520170504,4,186.csv
5575520170711,3,194.csv
2175820170609,5,67.csv
5575520170713,3,110.csv
6469920170608,2,147.csv
1869920170609,2,207.csv
1869920170609,1,148.csv
0179520170504,5,90.csv
6469920170608,2,93.csv
0179520170504,3,172.csv
0179520170504,3,47.csv
0179520170504,1,45.csv
